OTUID sampleName readNum mtagNum soup exp soupRep PCR lib pcrRep readSpike mtagSpike readNumSpikeCorr mtagNumSpikeCorr inputCOINum inputGDNA
HAP001 D3_tag01_tag01_5 3115 2674 D within-spp 3 tag01_tag01 5 1 41403.0833333333 20631.75 281.307189279381 389.466235292692 51213969.05 31.2
HAP001 D3_tag02_tag02_5 3055 2567 D within-spp 3 tag02_tag02 5 2 33380.75 18693.1666666667 342.192581053451 412.655337511925 51213969.05 31.2
HAP001 D3_tag03_tag03_5 4193 3399 D within-spp 3 tag03_tag03 5 3 51767 24337.0833333333 302.849827109935 419.68854114948 51213969.05 31.2
HAP001 E1_tag04_tag04_5 7227 5270 E within-spp 1 tag04_tag04 5 1 18882.0833333333 9474.66666666667 1431.07900346448 1671.44138755981 41036834.17 25
HAP001 E1_tag05_tag05_5 25541 14007 E within-spp 1 tag05_tag05 5 2 106577.083333333 27111.25 896.044402916512 1552.53022269353 41036834.17 25
HAP001 E1_tag06_tag06_5 9630 7326 E within-spp 1 tag06_tag06 5 3 23044 12535.5 1562.51388647804 1756.18284073232 41036834.17 25
HAP001 E2_tag07_tag07_5 26 26 E within-spp 2 tag07_tag07 5 1 53469.3333333333 26345.5 1.81812627799112 2.96559184680496 41036834.17 25
HAP001 E2_tag08_tag08_5 3252 2600 E within-spp 2 tag08_tag08 5 2 85651.75 36773.5833333333 141.961232549247 212.462297437245 41036834.17 25
HAP001 E2_tag09_tag09_5 5624 4282 E within-spp 2 tag09_tag09 5 3 71253.6666666667 27239.4166666667 295.116546049092 472.381995453892 41036834.17 25
HAP001 E3_tag10_tag10_5 5109 3773 E within-spp 3 tag10_tag10 5 1 95299.0833333333 33571.1666666667 200.448423340903 337.726273041846 41036834.17 25
HAP001 E3_tag11_tag11_5 5856 4784 E within-spp 3 tag11_tag11 5 2 55053.8333333333 24044.5 397.712251341868 597.888082513673 41036834.17 25
HAP001 E3_tag12_tag12_5 5179 4197 E within-spp 3 tag12_tag12 5 3 87549.75 28992.5833333333 221.180311765596 435.007286346221 41036834.17 25
HAP001 F1_tag26_tag26_5 19 18 F within-spp 1 tag26_tag26 5 1 41197.9166666667 16100.1666666667 1.72438331226296 3.35959255080175 32829467.34 20
HAP001 F1_tag27_tag27_5 34 34 F within-spp 1 tag27_tag27 5 2 23306.9166666667 10469.8333333333 5.45443233947004 9.75851255193492 32829467.34 20
HAP001 F1_tag28_tag28_5 4 4 F within-spp 1 tag28_tag28 5 3 18639.5833333333 9589.08333333333 0.802378450877389 1.25350876430663 32829467.34 20
HAP001 F2_tag29_tag29_5 21 21 F within-spp 2 tag29_tag29 5 1 43709.4166666667 17799.9166666667 1.79638636220647 3.54524131667283 32829467.34 20
HAP001 F2_tag31_tag31_5 13 13 F within-spp 2 tag31_tag31 5 2 46117.0833333333 21385.75 1.05399119993495 1.82668365617292 32829467.34 20
HAP001 F2_tag32_tag32_5 16 16 F within-spp 2 tag32_tag32 5 3 37461.9166666667 16921.1666666667 1.59692843621189 2.84141164419317 32829467.34 20
HAP001 F3_tag33_tag33_5 10 10 F within-spp 3 tag33_tag33 5 1 16264.1666666667 9796.66666666667 2.29891889122304 3.06736985369173 32829467.34 20
HAP001 F3_tag34_tag34_5 26 25 F within-spp 3 tag34_tag34 5 2 34638.8333333333 16727.3333333333 2.80650329832125 4.49115220597027 32829467.34 20
HAP001 F3_tag35_tag35_5 13 13 F within-spp 3 tag35_tag35 5 3 107520.75 33064.75 0.452070879341894 1.18146969204364 32829467.34 20
HAP001 G1_tag36_tag36_5 9 9 G within-spp 1 tag36_tag36 5 1 64215.4166666667 24392.9166666667 0.524033039833373 1.10872350238286 26263573.87 16
HAP001 G1_tag37_tag37_5 48 48 G within-spp 1 tag37_tag37 5 2 88482.8333333333 24713.3333333333 2.02832564508746 5.83652549231184 26263573.87 16
HAP001 G1_tag38_tag38_5 8 8 G within-spp 1 tag38_tag38 5 3 63038.8333333333 22368.1666666667 0.47450116726991 1.07474163431663 26263573.87 16
